Category,Item,2024_Budget,2024_Actual,2023_Actual
Revenue,Property taxes and taxation from other governments,5774,5808,5380
Revenue,Government transfers,4709,4669,4278
Revenue,User charges,3422,3610,3457
Revenue,Municipal land transfer tax,880,828,751
Revenue,Investment income,266,801,337
Revenue,Development charges,793,789,446
Revenue,Rent and concessions,503,584,553
Revenue,Government business enterprises earnings,0,176,178
Revenue,Other revenue sources,1325,937,945
Revenue,Total revenues,17672,18202,16325
Expense,Transportation,4579,4460,4074
Expense,Social and family services,4173,3678,3570
Expense,Protection to persons and property,2302,2452,2241
Expense,Social housing,1182,1322,1068
Expense,Recreation and cultural services,1432,1239,1137
Expense,Environmental services,1491,1176,1143
Expense,General government,1406,1063,1062
Expense,Health services,664,577,612
Expense,Planning and development,293,219,168
Expense,Total expenses,17522,16186,15075
Surplus,Annual surplus,150,2016,1250
